fichier_apx,num_arg,num_ext,semantique,methode,fiabilite,fiabilite_observee,repetition,verite,EXT_AR,CSS_S_sum,CSS_S_min,CSS_S_leximin,CSS_D_sum,CSS_D_min,CSS_D_leximin,CSS_U_sum,CSS_U_min,CSS_U_leximin
PR_uniforme_0.7_rep5.apx,10,8,PR,uniforme,0.7,0.7,5,"['a2', 'a5', 'a7', 'a9']","[['a0', 'a2', 'a4', 'a6', 'a8'], ['a0', 'a2', 'a5', 'a8']]","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9']]"
PR_uniforme_0.8_rep1.apx,10,8,PR,uniforme,0.8,0.8,1,"['a2', 'a4', 'a6', 'a9']","[['a2', 'a4', 'a6', 'a9']]","[['a2', 'a4', 'a6', 'a9']]","[['a2', 'a4', 'a6', 'a9']]","[['a2', 'a4', 'a6', 'a9']]","[['a2', 'a4', 'a6', 'a9']]","[['a2', 'a4', 'a6', 'a9']]","[['a2', 'a4', 'a6', 'a9']]","[['a2', 'a4', 'a6', 'a9']]","[['a2', 'a4', 'a6', 'a9']]","[['a2', 'a4', 'a6', 'a9']]"
PR_uniforme_0.8_rep2.apx,10,8,PR,uniforme,0.8,0.8,2,"['a0', 'a2', 'a4', 'a6', 'a8']","[['a0', 'a2', 'a4', 'a6', 'a8']]","[['a0', 'a2', 'a4', 'a6', 'a8']]","[['a0', 'a2', 'a4', 'a6', 'a8']]","[['a0', 'a2', 'a4', 'a6', 'a8']]","[['a0', 'a2', 'a4', 'a6', 'a8']]","[['a0', 'a2', 'a4', 'a6', 'a8']]","[['a0', 'a2', 'a4', 'a6', 'a8']]","[['a0', 'a2', 'a4', 'a6', 'a8']]","[['a0', 'a2', 'a4', 'a6', 'a8']]","[['a0', 'a2', 'a4', 'a6', 'a8']]"
PR_uniforme_0.8_rep3.apx,10,8,PR,uniforme,0.8,0.8,3,"['a2', 'a5', 'a7', 'a9']","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9']]","[['a2', 'a5', 'a7', 'a9']]"
PR_uniforme_0.8_rep4.apx,10,8,PR,uniforme,0.8,0.8,4,"['a1', 'a3', 'a6', 'a8']","[['a1', 'a3', 'a6', 'a8']]","[['a1', 'a3', 'a6', 'a8']]","[['a1', 'a3', 'a6', 'a8']]","[['a1', 'a3', 'a6', 'a8']]","[['a1', 'a3', 'a6', 'a8']]","[['a1', 'a3', 'a6', 'a8']]","[['a1', 'a3', 'a6', 'a8']]","[['a1', 'a3', 'a6', 'a8']]","[['a1', 'a3', 'a6', 'a8']]","[['a1', 'a3', 'a6', 'a8']]"
PR_uniforme_0.8_rep5.apx,10,8,PR,uniforme,0.8,0.8,5,"['a1', 'a3', 'a5', 'a7', 'a9']","[['a1', 'a3', 'a5', 'a7', 'a9']]","[['a1', 'a3', 'a5', 'a7', 'a9']]","[['a1', 'a3', 'a5', 'a7', 'a9']]","[['a1', 'a3', 'a5', 'a7', 'a9']]","[['a1', 'a3', 'a5', 'a7', 'a9']]","[['a1', 'a3', 'a5', 'a7', 'a9']]","[['a1', 'a3', 'a5', 'a7', 'a9']]","[['a1', 'a3', 'a5', 'a7', 'a9']]","[['a1', 'a3', 'a5', 'a7', 'a9']]","[['a1', 'a3', 'a5', 'a7', 'a9']]"
PR_uniforme_0.9_rep1.apx,10,8,PR,uniforme,0.9,0.9,1,"['a1', 'a3', 'a6', 'a9']","[['a1', 'a3', 'a6', 'a9']]","[['a1', 'a3', 'a6', 'a9']]","[['a1', 'a3', 'a6', 'a9']]","[['a1', 'a3', 'a6', 'a9']]","[['a1', 'a3', 'a6', 'a9']]","[['a1', 'a3', 'a6', 'a9']]","[['a1', 'a3', 'a6', 'a9']]","[['a1', 'a3', 'a6', 'a9']]","[['a1', 'a3', 'a6', 'a9']]","[['a1', 'a3', 'a6', 'a9']]"
PR_uniforme_0.9_rep2.apx,10,8,PR,uniforme,0.9,0.9,2,"['a0', 'a2', 'a5', 'a8']","[['a0', 'a2', 'a5', 'a8']]","[['a0', 'a2', 'a5', 'a8']]","[['a0', 'a2', 'a5', 'a8']]","[['a0', 'a2', 'a5', 'a8']]","[['a0', 'a2', 'a5', 'a8']]","[['a0', 'a2', 'a5', 'a8']]","[['a0', 'a2', 'a5', 'a8']]","[['a0', 'a2', 'a5', 'a8']]","[['a0', 'a2', 'a5', 'a8']]","[['a0', 'a2', 'a5', 'a8']]"
PR_uniforme_0.9_rep3.apx,10,8,PR,uniforme,0.9,0.9,3,"['a1', 'a3', 'a5', 'a8']","[['a1', 'a3', 'a5', 'a8']]","[['a1', 'a3', 'a5', 'a8']]","[['a1', 'a3', 'a5', 'a8']]","[['a1', 'a3', 'a5', 'a8']]","[['a1', 'a3', 'a5', 'a8']]","[['a1', 'a3', 'a5', 'a8']]","[['a1', 'a3', 'a5', 'a8']]","[['a1', 'a3', 'a5', 'a8']]","[['a1', 'a3', 'a5', 'a8']]","[['a1', 'a3', 'a5', 'a8']]"
PR_uniforme_0.9_rep4.apx,10,8,PR,uniforme,0.9,0.9,4,"['a2', 'a4', 'a6', 'a9']","[['a2', 'a4', 'a6', 'a9']]","[['a2', 'a4', 'a6', 'a9']]","[['a2', 'a4', 'a6', 'a9']]","[['a2', 'a4', 'a6', 'a9']]","[['a2', 'a4', 'a6', 'a9']]","[['a2', 'a4', 'a6', 'a9']]","[['a2', 'a4', 'a6', 'a9']]","[['a2', 'a4', 'a6', 'a9']]","[['a2', 'a4', 'a6', 'a9']]","[['a2', 'a4', 'a6', 'a9']]"
